Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","DMA","Dominica","5110","Area","6621","Arable land","2020","2020","1000 ha","6","I","Imputed value"
"RL","Land Use","DMA","Dominica","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Imputed value"
"RL","Land Use","DOM","Dominican Republic","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2429","I","Imputed value"
"RL","Land Use","DOM","Dominican Republic","5110","Area","6621","Arable land","2020","2020","1000 ha","877","I","Imputed value"
"RL","Land Use","DOM","Dominican Republic","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1197","I","Imputed value"
"RL","Land Use","ECU","Ecuador","5110","Area","6610","Agricultural land","2020","2020","1000 ha","5420","A","Official figure"
"RL","Land Use","ECU","Ecuador","5110","Area","6621","Arable land","2020","2020","1000 ha","1038","A","Official figure"
"RL","Land Use","ECU","Ecuador","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2939","A","Official figure"
"RL","Land Use","EGY","Egypt","5110","Area","6610","Agricultural land","2020","2020","1000 ha","3971","A","Official figure"
"RL","Land Use","EGY","Egypt","5110","Area","6621","Arable land","2020","2020","1000 ha","3365","I","Imputed value"
"RL","Land Use","SLV","El Salvador","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1195.7","I","Imputed value"
"RL","Land Use","SLV","El Salvador","5110","Area","6621","Arable land","2020","2020","1000 ha","721","I","Imputed value"
"RL","Land Use","SLV","El Salvador","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","314.7","I","Imputed value"
"RL","Land Use","GNQ","Equatorial Guinea","5110","Area","6610","Agricultural land","2020","2020","1000 ha","104.92","I","Imputed value"
"RL","Land Use","GNQ","Equatorial Guinea","5110","Area","6621","Arable land","2020","2020","1000 ha","53","I","Imputed value"
"RL","Land Use","GNQ","Equatorial Guinea","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4.92","I","Imputed value"
"RL","Land Use","ERI","Eritrea","5110","Area","6610","Agricultural land","2020","2020","1000 ha","7592","I","Imputed value"
"RL","Land Use","ERI","Eritrea","5110","Area","6621","Arable land","2020","2020","1000 ha","690","I","Imputed value"
"RL","Land Use","ERI","Eritrea","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","6900","I","Imputed value"
"RL","Land Use","EST","Estonia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","985","A","Official figure"
"RL","Land Use","EST","Estonia","5110","Area","6621","Arable land","2020","2020","1000 ha","694","A","Official figure"
"RL","Land Use","EST","Estonia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","286","A","Official figure"
"RL","Land Use","SWZ","Eswatini","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1195","I","Imputed value"
"RL","Land Use","SWZ","Eswatini","5110","Area","6621","Arable land","2020","2020","1000 ha","177","I","Imputed value"
"RL","Land Use","SWZ","Eswatini","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1000","I","Imputed value"
"RL","Land Use","ETH","Ethiopia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38476.1","I","Imputed value"
"RL","Land Use","ETH","Ethiopia","5110","Area","6621","Arable land","2020","2020","1000 ha","16195.1","I","Imputed value"
"RL","Land Use","ETH","Ethiopia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","20000","I","Imputed value"
"RL","Land Use","FLK","Falkland Islands (Malvinas)","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1135.7","I","Imputed value"
"RL","Land Use","FLK","Falkland Islands (Malvinas)","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1135.7","A","Official figure"
"RL","Land Use","FRO","Faroe Islands","5110","Area","6610","Agricultural land","2020","2020","1000 ha","96.07","A","Official figure"
"RL","Land Use","FRO","Faroe Islands","5110","Area","6621","Arable land","2020","2020","1000 ha","0.07","A","Official figure"
"RL","Land Use","FRO","Faroe Islands","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","96","A","Official figure"
"RL","Land Use","FJI","Fiji","5110","Area","6610","Agricultural land","2020","2020","1000 ha","311.6","I","Imputed value"
"RL","Land Use","FJI","Fiji","5110","Area","6621","Arable land","2020","2020","1000 ha","76.8","A","Official figure"
"RL","Land Use","FJI","Fiji","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","173","I","Imputed value"
"RL","Land Use","FIN","Finland","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2270","A","Official figure"
"RL","Land Use","FIN","Finland","5110","Area","6621","Arable land","2020","2020","1000 ha","2243","A","Official figure"
"RL","Land Use","FIN","Finland","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","22","A","Official figure"
"RL","Land Use","FRA","France","5110","Area","6610","Agricultural land","2020","2020","1000 ha","28553.754","A","Official figure"
"RL","Land Use","FRA","France","5110","Area","6621","Arable land","2020","2020","1000 ha","17956.56","I","Imputed value"
"RL","Land Use","FRA","France","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","9583.214","A","Official figure"
"RL","Land Use","GUF","French Guiana","5110","Area","6610","Agricultural land","2020","2020","1000 ha","32.52","A","Official figure"
"RL","Land Use","GUF","French Guiana","5110","Area","6621","Arable land","2020","2020","1000 ha","13.28","A","Official figure"
"RL","Land Use","GUF","French Guiana","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","13.7","A","Official figure"
"RL","Land Use","PYF","French Polynesia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","48.5","I","Imputed value"
"RL","Land Use","PYF","French Polynesia","5110","Area","6621","Arable land","2020","2020","1000 ha","2.5","I","Imputed value"
"RL","Land Use","PYF","French Polynesia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","20","I","Imputed value"
"RL","Land Use","GAB","Gabon","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2153.236","I","Imputed value"
"RL","Land Use","GAB","Gabon","5110","Area","6621","Arable land","2020","2020","1000 ha","325","I","Imputed value"
"RL","Land Use","GAB","Gabon","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1658.236","I","Imputed value"
"RL","Land Use","GMB","Gambia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","634","I","Imputed value"
"RL","Land Use","GMB","Gambia","5110","Area","6621","Arable land","2020","2020","1000 ha","440","I","Imputed value"
